--- /tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/rhino/Token.java	2018-12-01 10:04:39.136213851 -0500
+				case PARAM_LIST:
+					return "PARAM_LIST";
+				case COMMA:
+					return "COMMA";
+				case ASSIGN:
+					return "ASSIGN";
+				case ASSIGN_BITOR:
+					return "ASSIGN_BITOR";
+				case ASSIGN_BITXOR:
+					return "ASSIGN_BITXOR";
+				case ASSIGN_BITAND:
+					return "ASSIGN_BITAND";
+				case ASSIGN_LSH:
+					return "ASSIGN_LSH";
+				case ASSIGN_RSH:
+					return "ASSIGN_RSH";
+				case ASSIGN_URSH:
+					return "ASSIGN_URSH";
+				case ASSIGN_ADD:
+					return "ASSIGN_ADD";
+				case ASSIGN_SUB:
+					return "ASSIGN_SUB";
+				case ASSIGN_MUL:
+					return "ASSIGN_MUL";
+				case ASSIGN_DIV:
+					return "ASSIGN_DIV";
+				case ASSIGN_MOD:
+					return "ASSIGN_MOD";
+				case HOOK:
+					return "HOOK";
+				case OR:
+					return "OR";
+				case AND:
+					return "AND";
+				case INC:
+					return "INC";
+				case DEC:
+					return "DEC";
+				case FUNCTION:
+					return "FUNCTION";
+				case IF:
+					return "IF";
+				case SWITCH:
+					return "SWITCH";
+				case CASE:
+					return "CASE";
+				case DEFAULT_CASE:
+					return "DEFAULT_CASE";
+				case WHILE:
+					return "WHILE";
+				case DO:
+					return "DO";
+				case FOR:
+					return "FOR";
+				case BREAK:
+					return "BREAK";
+				case CONTINUE:
+					return "CONTINUE";
+				case VAR:
+					return "VAR";
+				case WITH:
+					return "WITH";
+				case CATCH:
+					return "CATCH";
+				case EMPTY:
+					return "EMPTY";
+				case BLOCK:
+					return "BLOCK";
+				case LABEL:
+					return "LABEL";
+				case EXPR_RESULT:
+					return "EXPR_RESULT";
+				case SCRIPT:
+					return "SCRIPT";
+				case GETTER_DEF:
+					return "GETTER_DEF";
+				case SETTER_DEF:
+					return "SETTER_DEF";
+				case CONST:
+					return "CONST";
+				case DEBUGGER:
+					return "DEBUGGER";
+				case CAST:
+					return "CAST";
+				case ANNOTATION:
+					return "ANNOTATION";
+				case PIPE:
+					return "PIPE";
+				case STAR:
+					return "STAR";
+				case EOC:
+					return "EOC";
+				case QMARK:
+					return "QMARK";
+				case ELLIPSIS:
+					return "ELLIPSIS";
+				case BANG:
+					return "BANG";
+				case VOID:
+					return "VOID";
+				case EQUALS:
+					return "EQUALS";
+				case LB:
+					return "LB";
+				case LC:
+					return "LC";
+				case COLON:
+					return "COLON";
+				}
+				return "TRY";
+			}
           case PARAM_LIST:      return "PARAM_LIST";
           case COMMA:           return "COMMA";
           case ASSIGN:          return "ASSIGN";


--- /tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java	2018-12-01 10:04:42.028213916 -0500
+++ /tmp/Arja_Defects4J_Closure_3/patches_ft34/Patch_1292/patched/tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java	2018-12-01 10:26:07.780850127 -0500
@@ -402,9 +402,7 @@
                  Predicates.
                      <DiGraphEdge<Node, ControlFlowGraph.Branch>>alwaysTrue(),
                  false);
-        if (pathCheck.somePathsSatisfyPredicate()) {
-          return false;
-        }
+        return false;
       }
 
       return true;
@@ -421,9 +419,6 @@
         rhs.detachFromParent();
         // Oh yes! I have grandparent to remove this.
         Preconditions.checkState(defParent.isExprResult());
-        while (defParent.getParent().isLabel()) {
-          defParent = defParent.getParent();
-        }
         defParent.detachFromParent();
         useParent.replaceChild(use, rhs);
       } else if (defParent.isVar()) {


