--- /tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/rhino/Token.java	2018-12-01 10:04:39.136213851 -0500
+				return "DEFAULT_CASE";
+			case WHILE:
+				return "WHILE";
+			case DO:
+				return "DO";
+			case FOR:
+				return "FOR";
+			case BREAK:
+				return "BREAK";
+			case CONTINUE:
+				return "CONTINUE";
+			case VAR:
+				return "VAR";
+			case WITH:
+				return "WITH";
+			case CATCH:
+				return "CATCH";
+			case EMPTY:
+				return "EMPTY";
+			case BLOCK:
+				return "BLOCK";
+			case LABEL:
+				return "LABEL";
+			case EXPR_RESULT:
+				return "EXPR_RESULT";
+			case SCRIPT:
+				return "SCRIPT";
+			case GETTER_DEF:
+				return "GETTER_DEF";
+			case SETTER_DEF:
+				return "SETTER_DEF";
+			case CONST:
+				return "CONST";
+			case DEBUGGER:
+				return "DEBUGGER";
+			case CAST:
+				return "CAST";
+			case ANNOTATION:
+				return "ANNOTATION";
+			case PIPE:
+				return "PIPE";
+			case STAR:
+				return "STAR";
+			case EOC:
+				return "EOC";
+			case QMARK:
+				return "QMARK";
+			case ELLIPSIS:
+				return "ELLIPSIS";
+			case BANG:
+				return "BANG";
+			case VOID:
+				return "VOID";
+			case EQUALS:
+				return "EQUALS";
+			case LB:
+				return "LB";
+			case LC:
+				return "LC";
+			case COLON:
+				return "COLON";
+			}
           case PARAM_LIST:      return "PARAM_LIST";
           case COMMA:           return "COMMA";
           case ASSIGN:          return "ASSIGN";


--- /tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java	2018-12-01 10:04:42.028213916 -0500
+++ /tmp/Arja_Defects4J_Closure_3/patches_ft34/Patch_919/patched/tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java	2018-12-01 10:21:41.118010296 -0500
@@ -402,9 +402,7 @@
                  Predicates.
                      <DiGraphEdge<Node, ControlFlowGraph.Branch>>alwaysTrue(),
                  false);
-        if (pathCheck.somePathsSatisfyPredicate()) {
-          return false;
-        }
+        return false;
       }
 
       return true;


--- /tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/jscomp/CheckPathsBetweenNodes.java	2018-12-01 10:04:38.760213842 -0500
+++ /tmp/Arja_Defects4J_Closure_3/patches_ft34/Patch_919/patched/tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/jscomp/CheckPathsBetweenNodes.java	2018-12-01 10:21:41.118010296 -0500
@@ -121,7 +121,6 @@
   public boolean somePathsSatisfyPredicate() {
     setUp();
     boolean result = checkSomePathsWithoutBackEdges(start, end);
-    tearDown();
     return result;
   }
 
@@ -205,26 +204,6 @@
     if (a == b) {
       return false;
     }
-    for (DiGraphEdge<N, E> e : a.getOutEdges()) {
-      // Once we visited that edge once, we no longer need to
-      // re-visit it again.
-      if (e.getAnnotation() == VISITED_EDGE) {
-        continue;
-      }
-      e.setAnnotation(VISITED_EDGE);
-
-      if (ignoreEdge(e)) {
-        continue;
-      }
-      if (e.getAnnotation() == BACK_EDGE) {
-        continue;
-      }
-
-      DiGraphNode<N, E> next = e.getDestination();
-      if (checkSomePathsWithoutBackEdges(next, b)) {
-        return true;
-      }
-    }
     return false;
   }
 }


